nume_actiune,timestamp
PLASARE COMANDA LOCAL KFC DE CATRE USER theoss,2021-04-27 19:54:32
PLASARE COMANDA LOCAL Hercule DE CATRE USER Achime11,2021-04-27 19:56:28
PLASARE COMANDA LOCAL McDonalds DE CATRE USER Gica123,2021-04-27 20:03:00
PLASARE COMANDA LOCAL Hercule DE CATRE USER theoss,2021-04-27 20:07:30
PLASARE COMANDA LOCAL KFC DE CATRE USER theoss,2021-04-27 21:47:58
PLASARE COMANDA LOCAL KFC DE CATRE USER theoss,2021-05-23 18:20:38
PLASARE COMANDA LOCAL KFC DE CATRE USER theoss,2021-05-23 18:21:21
PLASARE COMANDA LOCAL KFC DE CATRE USER achime11,2021-05-23 18:22:26
PLASARE COMANDA LOCAL KFC DE CATRE USER achime11,2021-05-23 23:30:40
